horizon,model,fold,n,peak_n,mae,rmse,mape_nonzero,peak_mae,position_tp,position_fp,position_fn,position_f1,episode_tp,episode_fp,episode_fn,episode_f1,false_alarms_positions,timing_mae_minutes,magnitude_mae,peak_mae_union,peak_bias,overpredict_rate,peak_mae_ci95,brier,pr_auc,coverage_0.1,top_coverage_0.1,pinball_0.1,coverage_0.5,top_coverage_0.5,pinball_0.5,coverage_0.9,top_coverage_0.9,pinball_0.9,coverage_0.95,top_coverage_0.95,pinball_0.95,coverage_0.975,top_coverage_0.975,pinball_0.975,pinball_mean
1,c1_mid_6_10,0,2750,41,35.134424242424245,56.95798752970775,137.52792576191325,15.41869918699187,41,1117,0,0.06839032527105922,22,108,1,0.2875816993464052,1117,18.40909090909091,10.212121212121215,26.437106918239,-15.386178861788617,0.004429678848283499,"[9.754846364221367, 20.299999999999997]",,,,,,,,,,,,,,,,,,
1,c1_mid_6_10,1,2750,140,35.47727272727272,57.16823984053249,130.53767577561285,17.74404761904762,61,144,79,0.3536231884057971,29,37,36,0.44274809160305345,144,13.96551724137931,15.178160919540232,19.34713375796178,-17.74404761904762,0.006513409961685823,"[15.487954954954954, 19.704525488243608]",,,,,,,,,,,,,,,,,,
1,c1_mid_6_10,2,2064,235,64.08422157622739,84.43778185521947,272.56992153825223,12.017021276595745,195,284,40,0.5462184873949579,37,47,19,0.5285714285714286,284,20.27027027027027,10.905405405405402,81.53298245614036,-10.79290780141844,0.13121924548933844,"[9.242147854297206, 17.676227044823005]",,,,,,,,,,,,,,,,,,
1,c1a_mid_6_10_adjusted,0,2750,41,12.764555555555557,21.264141218013446,34.11988825591645,35.242547425474264,25,650,16,0.06983240223463687,19,99,4,0.2695035460992908,650,19.736842105263158,10.522660818713453,27.451992753623195,-33.701219512195124,0.018826135105204873,"[18.010641718107, 48.671903846968156]",,,,,,,,,,,,,,,,,,
1,c1a_mid_6_10_adjusted,1,2750,140,11.73910606060606,19.506239632742872,29.310464325677483,13.935218253968253,117,252,23,0.45972495088408644,43,42,22,0.5733333333333334,252,25.11627906976744,9.330426356589145,15.725611111111112,-10.820535714285715,0.0421455938697318,"[9.2924817211079, 18.440043640286355]",,,,,,,,,,,,,,,,,,
1,c1a_mid_6_10_adjusted,2,2064,235,15.614139211886304,24.162373598640002,55.56936573405522,13.3572695035461,215,100,20,0.7818181818181819,37,7,19,0.74,100,31.62162162162162,11.483858858858861,14.407865282865282,-5.328191489361702,0.02077638053581192,"[9.828097970521704, 19.557028396509605]",,,,,,,,,,,,,,,,,,
1,c2_max_4_5,0,2750,41,35.543727272727274,57.37741617015911,138.5398512571177,10.646341463414634,41,1134,0,0.06743421052631579,21,100,2,0.2916666666666667,1134,11.428571428571429,6.464285714285714,37.985074626865675,-10.048780487804878,0.009597637504614249,"[4.356439012096774, 15.143030427631576]",,,,,,,,,,,,,,,,,,
1,c2_max_4_5,1,2750,140,36.145272727272726,59.7996480682864,136.78372432389276,12.923214285714286,43,128,97,0.2765273311897106,22,46,43,0.3308270676691729,128,11.590909090909092,8.170454545454545,37.295719844357976,-12.469642857142857,0.04482758620689655,"[10.372369653065247, 15.566759259259259]",,,,,,,,,,,,,,,,,,
1,c2_max_4_5,2,2064,235,56.21075581395349,80.90001582547444,235.9088122379692,11.392553191489363,230,471,5,0.49145299145299143,32,39,24,0.5039370078740157,471,30.9375,7.1484375,82.3425,-7.413829787234042,0.14488791689447786,"[7.044837805117219, 22.658391712454204]",,,,,,,,,,,,,,,,,,
1,c2a_max_4_5_adjusted,0,2750,41,13.138924242424242,21.74595280469077,34.78021245092163,27.97865853658537,25,435,16,0.0998003992015968,20,78,3,0.3305785123966942,435,18.0,11.833333333333336,28.981842507645265,-21.528455284552848,0.025101513473606497,"[14.081220238095243, 38.13649667789265]",,,,,,,,,,,,,,,,,,
1,c2a_max_4_5_adjusted,1,2750,140,12.100795454545455,19.82832711916709,30.26411926527217,13.205059523809524,125,409,15,0.37091988130563797,41,60,24,0.4939759036144578,409,29.634146341463413,10.254573170731705,15.854961832061068,-7.989880952380953,0.04674329501915709,"[9.050259732505378, 17.19823443700397]",,,,,,,,,,,,,,,,,,
1,c2a_max_4_5_adjusted,2,2064,235,14.054899467054264,23.316729598877934,47.94608369006913,13.20328014184397,224,130,11,0.7606112054329371,33,6,23,0.6947368421052632,130,40.45454545454545,12.301136363636367,14.382562277580071,-3.5460106382978744,0.025150355385456534,"[9.073239047672228, 21.287177146381463]",,,,,,,,,,,,,,,,,,
1,c3_holiday_hybrid,0,2750,41,16.330363636363636,29.08268862704715,34.55198181996334,26.369918699186993,38,736,3,0.09325153374233129,21,68,2,0.375,736,17.857142857142858,10.325396825396828,24.874149659863946,-26.33739837398374,0.0029531192321889995,"[11.364305555555557, 52.22590579710144]",,,,,,,,,,,,,,,,,,
1,c3_holiday_hybrid,1,2750,140,14.210333333333333,22.71323008088173,30.253963468233046,17.74404761904762,70,128,70,0.41420118343195267,29,37,36,0.44274809160305345,128,15.517241379310345,14.99425287356322,17.60322580645161,-17.74404761904762,0.005747126436781609,"[15.487954954954954, 19.704525488243608]",,,,,,,,,,,,,,,,,,
